horizon_steps,horizon_label,model,mean_tuning_time_seconds,mean_final_fit_time_seconds,mean_test_predict_time_seconds
1,30 min,RollingMean,0.011500799399800598,3.588400431908667e-06,0.0001403348011081107
1,30 min,Persistence,0.05300084160116967,4.042399814352393e-06,0.00017549780022818595
1,30 min,Ridge,0.05700052700121887,0.008442292599647771,0.003306878799048718
1,30 min,RandomForest,24.75378872680012,1.8330466464001802,0.19561307940020925
2,1 h,Persistence,0.005580440799531061,4.95260173920542e-06,0.00030852459894958884
2,1 h,RollingMean,0.012725657601549756,3.8142010453157126e-06,9.878220007522031e-05
2,1 h,Ridge,0.054122984601417554,0.007370102798449807,0.0030329313987749627
2,1 h,RandomForest,19.831386692402884,1.530876645000535,0.2391981669978122
4,2 h,Persistence,0.005916347799939103,4.480802454054356e-06,0.00022954000160098077
4,2 h,RollingMean,0.011305602003994863,3.792597271967679e-06,0.00013500520290108398
4,2 h,Ridge,0.058494618600525426,0.0076823287978186276,0.0032934848000877536
4,2 h,RandomForest,19.489759449999838,2.161536299600266,0.24963676080078584
8,4 h,Persistence,0.005961034001666121,4.964001709595322e-06,0.00022546899854205548
8,4 h,RollingMean,0.011155078800220508,3.861999721266329e-06,0.00010321459849365056
8,4 h,Ridge,0.05549263020075159,0.0073096012012683785,0.00401754560007248
8,4 h,RandomForest,19.131617644403015,1.5420123511998098,0.260883622597612
