horizon_steps,horizon_label,fold_id,model,params_label,model_setting,selected_params,calibration_rmse,calibration_mae,tuning_time_seconds,final_fit_time_seconds,model_path
4,2 h,3,RandomForest,"max_depth=None, min_samples_leaf=3","RandomForest (max_depth=None, min_samples_leaf=3)","{""max_depth"": null, ""min_samples_leaf"": 3}",0.038505741382794056,0.02604822546349889,20.44938758900389,2.5797454769926844,../outputs/models/notebook_03/h04_fold03_randomforest.pkl
4,2 h,4,Persistence,,Persistence,{},0.04358035600530024,0.025982110008428882,0.00958778799395077,3.7139980122447014e-06,../outputs/models/notebook_03/h04_fold04_persistence.pkl
4,2 h,4,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.0451287454292741,0.028637148866236306,0.013351986999623477,2.977001713588834e-06,../outputs/models/notebook_03/h04_fold04_rollingmean.pkl
4,2 h,4,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.044245656482063675,0.030562472999559578,0.05108415200083982,0.007433025006321259,../outputs/models/notebook_03/h04_fold04_ridge.pkl
4,2 h,4,RandomForest,"max_depth=None, min_samples_leaf=5","RandomForest (max_depth=None, min_samples_leaf=5)","{""max_depth"": null, ""min_samples_leaf"": 5}",0.045235516971392734,0.031067011554432058,20.88346107400139,2.4478324569936376,../outputs/models/notebook_03/h04_fold04_randomforest.pkl
4,2 h,5,Persistence,,Persistence,{},0.044607213994734746,0.026201378209934335,0.0058933590044034645,2.9830116545781493e-06,../outputs/models/notebook_03/h04_fold05_persistence.pkl
4,2 h,5,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.04542578610293995,0.028610588519945895,0.012551829000585712,2.6040070224553347e-06,../outputs/models/notebook_03/h04_fold05_rollingmean.pkl
4,2 h,5,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.04444077711696159,0.030087316315060158,0.05320469800790306,0.007718572000158019,../outputs/models/notebook_03/h04_fold05_ridge.pkl
4,2 h,5,RandomForest,"max_depth=None, min_samples_leaf=5","RandomForest (max_depth=None, min_samples_leaf=5)","{""max_depth"": null, ""min_samples_leaf"": 5}",0.04345088099194533,0.028378615128652522,22.17836241600162,2.526282934995834,../outputs/models/notebook_03/h04_fold05_randomforest.pkl
8,4 h,1,Persistence,,Persistence,{},0.04975241010973244,0.034795046023094606,0.005856934003531933,3.2999960239976645e-06,../outputs/models/notebook_03/h08_fold01_persistence.pkl
8,4 h,1,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.045922071801502026,0.032757387904470074,0.014132721000351012,2.1029991330578923e-06,../outputs/models/notebook_03/h08_fold01_rollingmean.pkl
8,4 h,1,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.04681355643965215,0.03484741958221877,0.05337373199290596,0.007295015995623544,../outputs/models/notebook_03/h08_fold01_ridge.pkl
8,4 h,1,RandomForest,"max_depth=6, min_samples_leaf=3","RandomForest (max_depth=6, min_samples_leaf=3)","{""max_depth"": 6, ""min_samples_leaf"": 3}",0.04951061061937192,0.03555311199681782,17.797615731993574,1.292383691004943,../outputs/models/notebook_03/h08_fold01_randomforest.pkl
8,4 h,2,Persistence,,Persistence,{},0.03623568700128946,0.026130803081734773,0.008107890011160634,3.4800032153725624e-06,../outputs/models/notebook_03/h08_fold02_persistence.pkl
8,4 h,2,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.03663466715288099,0.025947297212683813,0.012487703002989292,3.5479897633194923e-06,../outputs/models/notebook_03/h08_fold02_rollingmean.pkl
8,4 h,2,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.03859408576789277,0.03017396355302824,0.054629887992632575,0.0077345000026980415,../outputs/models/notebook_03/h08_fold02_ridge.pkl
8,4 h,2,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.052253141832664156,0.0345049053476207,18.099910228003864,1.3930396720097633,../outputs/models/notebook_03/h08_fold02_randomforest.pkl
8,4 h,3,Persistence,,Persistence,{},0.0463780625474239,0.02930575483096288,0.009495156991761178,3.9900041883811355e-06,../outputs/models/notebook_03/h08_fold03_persistence.pkl
8,4 h,3,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.04744873921605849,0.03042746489447121,0.012305693002417684,2.8460053727030754e-06,../outputs/models/notebook_03/h08_fold03_rollingmean.pkl
8,4 h,3,Ridge,alpha=1.0,Ridge (alpha=1.0),"{""alpha"": 1.0}",0.047063087448221325,0.03396702698730056,0.05927955599327106,0.00935943100193981,../outputs/models/notebook_03/h08_fold03_ridge.pkl
8,4 h,3,RandomForest,"max_depth=None, min_samples_leaf=5","RandomForest (max_depth=None, min_samples_leaf=5)","{""max_depth"": null, ""min_samples_leaf"": 5}",0.05802429313286124,0.03790797134415486,19.501451358999475,2.2692433419870213,../outputs/models/notebook_03/h08_fold03_randomforest.pkl
8,4 h,4,Persistence,,Persistence,{},0.05389159971077816,0.03479246016800576,0.007970348000526428,2.9859947971999645e-06,../outputs/models/notebook_03/h08_fold04_persistence.pkl
8,4 h,4,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.055112283595512845,0.036371585108249116,0.013439328002277762,2.221000613644719e-06,../outputs/models/notebook_03/h08_fold04_rollingmean.pkl
8,4 h,4,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.05463068191722788,0.03916293077455529,0.05574838101165369,0.007150757999625057,../outputs/models/notebook_03/h08_fold04_ridge.pkl
8,4 h,4,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.06391870887620935,0.04271997248682059,20.185991430000286,1.5643307049904251,../outputs/models/notebook_03/h08_fold04_randomforest.pkl
8,4 h,5,Persistence,,Persistence,{},0.05442874447149735,0.03484738053540041,0.00747641600901261,4.129004082642496e-06,../outputs/models/notebook_03/h08_fold05_persistence.pkl
8,4 h,5,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.05543598829450288,0.036574576055744434,0.010682542997528799,2.9030052246525884e-06,../outputs/models/notebook_03/h08_fold05_rollingmean.pkl
8,4 h,5,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.05419634946600886,0.038164623208541436,0.048025349009549245,0.010726117994636297,../outputs/models/notebook_03/h08_fold05_ridge.pkl
8,4 h,5,RandomForest,"max_depth=6, min_samples_leaf=3","RandomForest (max_depth=6, min_samples_leaf=3)","{""max_depth"": 6, ""min_samples_leaf"": 3}",0.052799773918136284,0.035862609605792906,20.97438303400122,1.5429559149924899,../outputs/models/notebook_03/h08_fold05_randomforest.pkl
