horizon_steps,horizon_label,fold_id,model,n_test_rows,mae_norm,rmse_norm,bias_norm,mae_kw_250,rmse_kw_250,bias_kw_250,persistence_mae_norm,persistence_rmse_norm,persistence_mae_kw_250,persistence_rmse_kw_250,mae_skill_vs_persistence,rmse_skill_vs_persistence
1,30 min,1,Persistence,585,0.02291305141760692,0.0415131282604793,0.0005969604417427882,5.728262854401731,10.378282065119825,0.149240110435697,0.02291305141760692,0.0415131282604793,5.728262854401731,10.378282065119825,0.0,0.0
1,30 min,1,RandomForest,585,0.02628918810119226,0.039341503587708104,-0.002809646992219344,6.572297025298064,9.835375896927026,-0.702411748054836,0.02291305141760692,0.0415131282604793,5.728262854401731,10.378282065119825,-0.14734557270669923,0.0523117568771273
1,30 min,1,Ridge,585,0.02518478993301543,0.03761413811852036,-0.0020614361686711476,6.2961974832538585,9.403534529630091,-0.5153590421677868,0.02291305141760692,0.0415131282604793,5.728262854401731,10.378282065119825,-0.09914604886116796,0.09392185810460352
1,30 min,1,RollingMean,585,0.023326307966514744,0.03738522116408732,0.0012140774201309737,5.831576991628685,9.34630529102183,0.3035193550327435,0.02291305141760692,0.0415131282604793,5.728262854401731,10.378282065119825,-0.018035858313933062,0.09943618487363592
1,30 min,2,Persistence,621,0.023023648202798758,0.042269587876710264,-5.621015732233518e-05,5.755912050699689,10.567396969177565,-0.014052539330583804,0.023023648202798758,0.042269587876710264,5.755912050699689,10.567396969177565,0.0,0.0
1,30 min,2,RandomForest,621,0.026661495228846886,0.040338880201407155,-0.005335646583438031,6.66537380721172,10.08472005035179,-1.333911645859508,0.023023648202798758,0.042269587876710264,5.755912050699689,10.567396969177565,-0.15800480419110596,0.04567604682909365
1,30 min,2,Ridge,621,0.025209869625388365,0.03750732029334053,-0.004252203017765535,6.302467406347091,9.37683007333513,-1.063050754441384,0.023023648202798758,0.042269587876710264,5.755912050699689,10.567396969177565,-0.0949554737517162,0.11266415933034568
1,30 min,2,RollingMean,621,0.02251161356961273,0.036930546672434596,-0.0006211689070655741,5.627903392403183,9.232636668108649,-0.15529222676639354,0.023023648202798758,0.042269587876710264,5.755912050699689,10.567396969177565,0.02223950907674943,0.1263092798502864
1,30 min,3,Persistence,658,0.017065956190776395,0.03609517604297288,3.843411310124996e-05,4.266489047694098,9.023794010743222,0.009608528275312469,0.017065956190776395,0.03609517604297288,4.266489047694098,9.023794010743222,0.0,0.0
1,30 min,3,RandomForest,658,0.03573588717969626,0.049711946236228904,-0.020811989024327605,8.933971794924064,12.427986559057224,-5.202997256081901,0.017065956190776395,0.03609517604297288,4.266489047694098,9.023794010743222,-1.0939868109476554,-0.37724626074810286
