horizon_steps,horizon_label,fold_id,model,params_label,model_setting,tuning_time_seconds,final_fit_time_seconds,calibration_predict_time_seconds,test_predict_time_seconds,model_path
1,30 min,1,Persistence,,Persistence,0.0030553249998774845,2.306001988472417e-06,0.00021981700047035702,0.00010744900282588787,../outputs/models/notebook_03/h01_fold01_persistence.pkl
1,30 min,1,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.013955491998785874,4.089000867679715e-06,0.00027931699878536165,0.00021509900034288876,../outputs/models/notebook_03/h01_fold01_rollingmean.pkl
1,30 min,1,Ridge,alpha=10.0,Ridge (alpha=10.0),0.5620346930008964,0.009754271999554476,0.006498704999103211,0.004601388001901796,../outputs/models/notebook_03/h01_fold01_ridge.pkl
1,30 min,1,RandomForest,"max_depth=6, min_samples_leaf=3","RandomForest (max_depth=6, min_samples_leaf=3)",19.52099051299956,1.3325003619975178,0.27295573000083095,0.2586100360022101,../outputs/models/notebook_03/h01_fold01_randomforest.pkl
1,30 min,2,Persistence,,Persistence,0.0057856209969031624,4.135999915888533e-06,0.0002450700012559537,0.00012156600132584572,../outputs/models/notebook_03/h01_fold02_persistence.pkl
1,30 min,2,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.011898067001311574,4.547000571619719e-06,0.0002448269988235552,0.00019609000082709827,../outputs/models/notebook_03/h01_fold02_rollingmean.pkl
1,30 min,2,Ridge,alpha=0.1,Ridge (alpha=0.1),0.05942534199857619,0.008372765998501563,0.0041379440008313395,0.0034645010018721223,../outputs/models/notebook_03/h01_fold02_ridge.pkl
1,30 min,2,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",18.775524348002364,1.3940375960009987,0.2122045590003836,0.3077177710001706,../outputs/models/notebook_03/h01_fold02_randomforest.pkl
1,30 min,3,Persistence,,Persistence,0.008370970001124078,4.4670014176517725e-06,0.00026884199905907735,0.00016412499826401472,../outputs/models/notebook_03/h01_fold03_persistence.pkl
1,30 min,3,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.013678318999154726,3.8050020521041006e-06,0.0002376830016146414,0.00010549599755904637,../outputs/models/notebook_03/h01_fold03_rollingmean.pkl
