interval_method,interval_level,interval_level_pct,model,horizon_steps,horizon_hours,horizon_label,fold_id,n_rows,empirical_coverage,mean_width_norm,median_width_norm,mean_width_kw_250,median_width_kw_250,mean_interval_score_norm,coverage_error
ConformalStyle_ModelHorizon,0.8,80,Persistence,1,0.5,30 min,1,585,0.8239316239316239,0.07030892078507565,0.07480834581389896,17.577230196268914,18.70208645347474,0.15503226941697237,0.023931623931623847
ConformalStyle_ModelHorizon,0.8,80,Persistence,1,0.5,30 min,2,621,0.748792270531401,0.04471137678938198,0.04789746093211189,11.177844197345495,11.974365233027973,0.16172791421355992,-0.051207729468599084
ConformalStyle_ModelHorizon,0.8,80,Persistence,1,0.5,30 min,3,658,0.7917933130699089,0.03854694643937107,0.04605469231635781,9.63673660984277,11.513673079089452,0.12360702293715477,-0.00820668693009119
ConformalStyle_ModelHorizon,0.8,80,Persistence,1,0.5,30 min,4,694,0.9409221902017291,0.05080811420811935,0.05570345878472016,12.702028552029835,13.925864696180039,0.0651570547234455,0.14092219020172903
ConformalStyle_ModelHorizon,0.8,80,Persistence,1,0.5,30 min,5,731,0.9247606019151847,0.05119220740262919,0.059556170871614605,12.798051850657298,14.889042717903651,0.06354773211866101,0.12476060191518468
ConformalStyle_ModelHorizon,0.8,80,Persistence,2,1.0,1 h,1,579,0.8255613126079447,0.07408879989440194,0.0791394139378282,18.522199973600483,19.78485348445705,0.16352188491721945,0.025561312607944697
ConformalStyle_ModelHorizon,0.8,80,Persistence,2,1.0,1 h,2,615,0.7609756097560976,0.05323550063006413,0.05755745305287413,13.308875157516034,14.389363263218533,0.17124695860961792,-0.039024390243902474
ConformalStyle_ModelHorizon,0.8,80,Persistence,2,1.0,1 h,3,652,0.8144171779141104,0.04708967328817779,0.05726021200233754,11.772418322044446,14.315053000584385,0.1281458282906825,0.014417177914110346
ConformalStyle_ModelHorizon,0.8,80,Persistence,2,1.0,1 h,4,688,0.9302325581395349,0.05283548953758461,0.05670431217958937,13.208872384396152,14.176078044897343,0.07024994043484578,0.13023255813953483
ConformalStyle_ModelHorizon,0.8,80,Persistence,2,1.0,1 h,5,724,0.930939226519337,0.05657124183869125,0.06651888072816947,14.142810459672814,16.62972018204237,0.06898896899884117,0.13093922651933698
ConformalStyle_ModelHorizon,0.8,80,Persistence,4,2.0,2 h,1,568,0.8133802816901409,0.08366664634353763,0.09050047282566187,20.91666158588441,22.62511820641547,0.17215418520513276,0.013380281690140827
ConformalStyle_ModelHorizon,0.8,80,Persistence,4,2.0,2 h,2,604,0.7533112582781457,0.06022969941340797,0.06557811755755613,15.057424853351993,16.39452938938903,0.17638594537548147,-0.04668874172185433
ConformalStyle_ModelHorizon,0.8,80,Persistence,4,2.0,2 h,3,639,0.8278560250391236,0.05548898689997834,0.06862286606842427,13.872246724994584,17.155716517106068,0.12665505788627643,0.027856025039123544
ConformalStyle_ModelHorizon,0.8,80,Persistence,4,2.0,2 h,4,674,0.9436201780415431,0.06274270269608954,0.06259283152559574,15.685675674022386,15.648207881398934,0.08034938059900144,0.14362017804154303
ConformalStyle_ModelHorizon,0.8,80,Persistence,4,2.0,2 h,5,710,0.9422535211267605,0.0686714648229325,0.07958837645657879,17.167866205733127,19.897094114144696,0.07923932814196721,0.14225352112676048
ConformalStyle_ModelHorizon,0.8,80,Persistence,8,4.0,4 h,1,546,0.7673992673992674,0.10026816307860774,0.11068525837846492,25.067040769651936,27.67131459461623,0.21196429171745473,-0.032600732600732596
ConformalStyle_ModelHorizon,0.8,80,Persistence,8,4.0,4 h,2,580,0.7293103448275862,0.08009561546069645,0.08878076410329833,20.02390386517411,22.19519102582458,0.21432148341350127,-0.07068965517241388
ConformalStyle_ModelHorizon,0.8,80,Persistence,8,4.0,4 h,3,614,0.8192182410423453,0.07651962831386959,0.07609189172908329,19.129907078467397,19.02297293227082,0.15359142832684217,0.019218241042345263
ConformalStyle_ModelHorizon,0.8,80,Persistence,8,4.0,4 h,4,649,0.9291217257318952,0.08369339254414436,0.07788940167146018,20.923348136036086,19.472350417865044,0.10296006886404455,0.12912172573189518
ConformalStyle_ModelHorizon,0.8,80,Persistence,8,4.0,4 h,5,683,0.9487554904831625,0.0953108311168475,0.097812352544066,23.827707779211877,24.4530881360165,0.10705436749295216,0.1487554904831625
ConformalStyle_ModelHorizon,0.8,80,RandomForest,1,0.5,30 min,1,585,0.7726495726495727,0.07235993941518114,0.07509740359192563,18.089984853795283,18.774350897981407,0.15132424602193018,-0.027350427350427364
ConformalStyle_ModelHorizon,0.8,80,RandomForest,1,0.5,30 min,2,621,0.7069243156199678,0.057449403655089944,0.06025426403216827,14.362350913772485,15.063566008042068,0.16134150267191225,-0.09307568438003222
ConformalStyle_ModelHorizon,0.8,80,RandomForest,1,0.5,30 min,3,658,0.5911854103343465,0.05907573210229377,0.06289832100251841,14.76893302557344,15.724580250629602,0.22457992384314523,-0.20881458966565358
ConformalStyle_ModelHorizon,0.8,80,RandomForest,1,0.5,30 min,4,694,0.7507204610951008,0.0757350845243448,0.08415888093145146,18.9337711310862,21.039720232862866,0.1587789407504552,-0.04927953890489922
ConformalStyle_ModelHorizon,0.8,80,RandomForest,1,0.5,30 min,5,731,0.8905608755129959,0.06553203090951394,0.07364980135664129,16.383007727378487,18.412450339160323,0.08408458571284187,0.09056087551299585
ConformalStyle_ModelHorizon,0.8,80,RandomForest,2,1.0,1 h,1,579,0.7409326424870466,0.07165438684497223,0.07388449100651556,17.91359671124306,18.47112275162889,0.16468545099146606,-0.059067357512953444
