interval_method,interval_level,interval_level_pct,model,horizon_steps,horizon_hours,horizon_label,folds,mean_coverage,std_coverage,mean_coverage_error,mean_width_norm,median_width_norm,mean_width_kw_250,median_width_kw_250,mean_interval_score_norm
ConformalStyle_ModelHorizon,0.8,80,Persistence,1,0.5,30 min,5,0.8460399999299695,0.08379762437777692,0.046039999929969454,0.05111351312491545,0.05680402574374068,12.778378281228862,14.20100643593517,0.11381439868195871
ConformalStyle_ModelHorizon,0.8,80,Persistence,2,1.0,1 h,5,0.8524251769874048,0.07541177475269113,0.05242517698740488,0.05676414103778395,0.06343605438015973,14.191035259445986,15.859013595039936,0.12043071625024135
ConformalStyle_ModelHorizon,0.8,80,Persistence,4,2.0,2 h,5,0.8560842528351428,0.08406906596055852,0.05608425283514271,0.0661599000351892,0.07337653288676335,16.5399750087973,18.34413322169084,0.12695677944157185
ConformalStyle_ModelHorizon,0.8,80,Persistence,8,4.0,4 h,5,0.8387610138968513,0.09710524048238901,0.03876101389685129,0.08717752610283312,0.09025193368527454,21.794381525708282,22.562983421318638,0.15797832796295896
ConformalStyle_ModelHorizon,0.8,80,RandomForest,1,0.5,30 min,5,0.7424081270423967,0.10846691630496584,-0.057591872957603304,0.0660304381212847,0.071211734182941,16.507609530321176,17.80293354573525,0.15602183980005696
ConformalStyle_ModelHorizon,0.8,80,RandomForest,2,1.0,1 h,5,0.7196079955049368,0.11954650669594011,-0.08039200449506315,0.06798493875019655,0.07331124750993341,16.996234687549137,18.32781187748335,0.17888630250373388
ConformalStyle_ModelHorizon,0.8,80,RandomForest,4,2.0,2 h,5,0.7309903784176994,0.11276840381850782,-0.06900962158230059,0.08320297147195208,0.09096544131071856,20.800742867988017,22.741360327679637,0.2276264189253418
ConformalStyle_ModelHorizon,0.8,80,RandomForest,8,4.0,4 h,5,0.7182002690599392,0.10268318295712647,-0.0817997309400609,0.10571405447169209,0.1127294360387133,26.428513617923024,28.182359009678322,0.4985198575737531
ConformalStyle_ModelHorizon,0.8,80,Ridge,1,0.5,30 min,5,0.8309116585530598,0.11380773010569532,0.030911658553059683,0.059213809946873155,0.0639715682341558,14.803452486718289,15.992892058538951,0.11272168322450023
ConformalStyle_ModelHorizon,0.8,80,Ridge,2,1.0,1 h,5,0.8287284513087008,0.11713080727552487,0.02872845130870063,0.06391906441071446,0.06863819836255063,15.979766102678614,17.159549590637656,0.11944343750996296
ConformalStyle_ModelHorizon,0.8,80,Ridge,4,2.0,2 h,5,0.8259612622314876,0.12882069094940846,0.025961262231487557,0.07622469182304342,0.08106619295992665,19.056172955760854,20.26654823998166,0.13908104583910247
ConformalStyle_ModelHorizon,0.8,80,Ridge,8,4.0,4 h,5,0.8363414862705787,0.11859640464012554,0.03634148627057856,0.09610464428773638,0.10077108493545947,24.02616107193409,25.192771233864867,0.16467558903352889
ConformalStyle_ModelHorizon,0.8,80,RollingMean,1,0.5,30 min,5,0.8447144951303244,0.10747853507025588,0.044714495130324286,0.057542063151901836,0.06401548570700413,14.385515787975459,16.003871426751033,0.10922677747051694
ConformalStyle_ModelHorizon,0.8,80,RollingMean,2,1.0,1 h,5,0.8311598391678323,0.10019296085547881,0.031159839167832337,0.059829649226683726,0.06642250704565836,14.957412306670932,16.60562676141459,0.11856812175917046
ConformalStyle_ModelHorizon,0.8,80,RollingMean,4,2.0,2 h,5,0.8245015853808215,0.11259630579932042,0.0245015853808215,0.07137101785547224,0.07681973110368367,17.84275446386806,19.204932775920916,0.14004525145234853
ConformalStyle_ModelHorizon,0.8,80,RollingMean,8,4.0,4 h,5,0.8293235322608915,0.11012008271004353,0.029323532260891527,0.09075387111927682,0.09253973926762568,22.68846777981921,23.134934816906423,0.16768475980892053
ConformalStyle_ModelHorizon,0.9,90,Persistence,1,0.5,30 min,5,0.9101147506615186,0.07661306569187534,0.010114750661518679,0.08653956343419815,0.09160735877162667,21.634890858549536,22.90183969290667,0.17210803447238307
