scenario,scenario_name,fold_id,segment_id,start_time,end_time,n_samples,duration_days,soc_min,soc_max,throughput_kwh,final_equivalent_full_cycles,mean_charge_c_rate_proxy,p95_charge_c_rate_proxy,mean_discharge_c_rate_proxy,p95_discharge_c_rate_proxy,max_abs_power_tracking_error_kw,max_temperature_model_c,final_soh_Q,final_soh_R,soc_range,throughput_kwh_per_day,equivalent_full_cycles_per_day,delta_soh_Q,delta_soh_R,delta_soh_Q_per_day,delta_soh_R_per_day
B,Observed-power smoothing,1,h1_fold1_seg1,2025-05-08 03:00:00,2025-05-08 14:30:00,24,0.5,0.49767356379876465,0.5024390477017604,1.7111648068031537,0.007778021849105243,0.0006840868562538624,0.0025687344714745174,0.0006122501185968305,0.0029415501203339986,1.7330581414398694e-13,25.001324977904883,0.9984080156480409,1.0000230603907707,0.0047654839029957485,3.4223296136063075,0.015556043698210486,0.0015919843519590637,2.3060390770712758e-05,0.0031839687039181275,4.6120781541425515e-05
B,Observed-power smoothing,1,h1_fold1_seg2,2025-05-21 22:00:00,2025-05-22 00:00:00,5,0.10416666666666667,0.4769768130173546,0.5250893131809939,5.8155007860958605,0.026434094482253912,0.0009825061665970545,0.003930024666388218,0.02016476941920616,0.03701441599057464,1.1546319456101628e-13,25.001449149644564,0.99927399079358,1.0000048000226034,0.04811250016363933,55.82880754652026,0.25376730702963757,0.0007260092064199641,4.80002260339063e-06,0.006969688381631655,4.608021699255005e-05
B,Observed-power smoothing,1,h1_fold1_seg3,2025-05-22 13:30:00,2025-05-23 19:00:00,60,1.25,0.43204261464986304,0.5632846436552029,50.1941032170902,0.2281550146231374,0.0076793379933699215,0.03112013624575155,0.007530996314839205,0.021073070751081318,1.5443202272535927e-13,25.053632981191086,0.9973488414877307,1.0000583688837617,0.13124202900533988,40.15528257367216,0.1825240116985099,0.0026511585122692694,5.836888376165028e-05,0.0021209268098154157,4.669510700932023e-05
B,Observed-power smoothing,1,h1_fold1_seg4,2025-05-24 13:00:00,2025-05-26 12:30:00,96,2.0,0.31340222323158384,0.6692182778154214,83.25147167028437,0.37841578031947437,0.011404980352705268,0.05481174764888658,0.0043623438272727836,0.01881015669574322,1.8041124150158794e-13,25.109034625767134,0.9966230108795708,1.0000903242859873,0.3558160545838376,41.62573583514219,0.18920789015973719,0.0033769891204291635,9.03242859873199e-05,0.0016884945602145818,4.516214299365995e-05
B,Observed-power smoothing,1,h1_fold1_seg5,2025-05-27 02:30:00,2025-05-28 23:00:00,90,1.875,0.2630399130557324,0.7076534986635855,280.9727735298331,1.2771489705901509,0.02771764417640352,0.13248631876070102,0.029044532294269843,0.1212423963341424,1.723066134218243e-13,25.19782478989654,0.9962849066881263,1.00009396333056,0.44461358560785313,149.85214588257764,0.6811461176480804,0.003715093311873696,9.396333056010953e-05,0.0019813830996659714,5.0113776298725084e-05
B,Observed-power smoothing,1,h1_fold1_seg6,2025-05-29 13:00:00,2025-05-30 03:00:00,29,0.6041666666666666,0.4759984041691292,0.5256226757313152,16.49721704084676,0.07498735018566709,0.003614712809744174,0.0157754532494881,0.006728369974485748,0.024628794488977528,1.0658141036401503e-13,25.005836778592855,0.9981939424170807,1.0000280408393458,0.04962427156218596,27.305738550367053,0.12411699341075932,0.001806057582919296,2.8040839345822022e-05,0.0029893366889698694,4.641242374480886e-05
B,Observed-power smoothing,1,h1_fold1_seg7,2025-05-30 16:30:00,2025-06-02 13:00:00,138,2.875,0.26672205509452773,0.7049547054411804,404.0013778222281,1.8363698991919468,0.028732286169632422,0.15354767983668632,0.024495826850423938,0.1496256401239258,2.0605739337042905e-13,25.251642235696576,0.9954416864922669,1.0001403744668915,0.4382326503466527,140.5222183729489,0.6387373562406772,0.004558313507733058,0.0001403744668915241,0.0015855003505158463,4.882590152748664e-05
B,Observed-power smoothing,1,h1_fold1_seg8,2025-06-03 02:30:00,2025-06-06 01:30:00,143,2.9791666666666665,0.2313789572041948,0.7786350374256485,314.824027602717,1.4310183072850777,0.019380931628695437,0.11023634457388203,0.020647552491166878,0.10296481863981674,1.8207657603852567e-13,25.16608741667238,0.9954613107928507,1.0001414011886463,0.5472560802214538,105.67519807643649,0.4803418094383478,0.004538689207149282,0.00014140118864625073,0.0015234760975046543,4.746333604909116e-05
B,Observed-power smoothing,2,h1_fold2_seg1,2025-05-27 13:30:00,2025-05-28 23:00:00,68,1.4166666666666667,0.27143912338129833,0.715698633681007,214.69497038892075,0.9758862290405489,0.02567285416449351,0.13564844008752322,0.03173221813200949,0.12166123908985427,1.4432899320127035e-13,25.18598436337635,0.9967739882280443,1.000070508916863,0.4442595102997086,151.54939086276758,0.6888608675580344,0.0032260117719556947,7.050891686311012e-05,0.0022771847802040197,4.977100013866596e-05
B,Observed-power smoothing,2,h1_fold2_seg2,2025-05-29 13:00:00,2025-05-30 03:00:00,29,0.6041666666666666,0.4759984041691292,0.5256226757313152,16.49721704084676,0.07498735018566709,0.003614712809744174,0.0157754532494881,0.006728369974485748,0.024628794488977528,1.0658141036401503e-13,25.005836778592855,0.9981939424170807,1.0000280408393458,0.04962427156218596,27.305738550367053,0.12411699341075932,0.001806057582919296,2.8040839345822022e-05,0.0029893366889698694,4.641242374480886e-05
B,Observed-power smoothing,2,h1_fold2_seg3,2025-05-30 16:30:00,2025-06-02 13:00:00,138,2.875,0.26672205509452773,0.7049547054411804,404.0013778222281,1.8363698991919468,0.028732286169632422,0.15354767983668632,0.024495826850423938,0.1496256401239258,2.0605739337042905e-13,25.251642235696576,0.9954416864922669,1.0001403744668915,0.4382326503466527,140.5222183729489,0.6387373562406772,0.004558313507733058,0.0001403744668915241,0.0015855003505158463,4.882590152748664e-05
B,Observed-power smoothing,2,h1_fold2_seg4,2025-06-03 02:30:00,2025-06-06 13:00:00,166,3.4583333333333335,0.2313789572041948,0.7786350374256485,398.0846054181416,1.8094754791733714,0.02085330127001522,0.1201279943963012,0.02274851750524676,0.10665569490664445,1.9051427102567686e-13,25.16608741667238,0.9950630174582941,1.0001669928296175,0.5472560802214538,115.10880156669155,0.5232218253031435,0.0049369825417059365,0.00016699282961751827,0.001427561216878825,4.828708326289685e-05
B,Observed-power smoothing,2,h1_fold2_seg5,2025-06-07 02:30:00,2025-06-08 04:00:00,52,1.0833333333333333,0.4431218708282502,0.5584901417326179,51.231396836719746,0.2328699856214534,0.008554669883646702,0.03211990379122354,0.009358405933388112,0.039750316192907205,1.7008616737257398e-13,25.02457399862867,0.9975237155477024,1.000050765806394,0.11536827090436769,47.29052015697208,0.21495690980441853,0.002476284452297639,5.076580639395978e-05,0.0022858010328901286,4.686074436365518e-05
