scenario,scenario_name,start_soc,series_cells,parallel_cells,nominal_energy_capacity_kwh,power_rating_kw,n_samples,duration_days
B,Observed-power smoothing,0.38105628800913344,200,58,110.0,35.0,476,9.916666666666666
C,Forecast-informed smoothing,0.7515585664048062,200,198,380.0,45.0,476,9.916666666666666
