scenario,scenario_name,target_nominal_energy_capacity_kwh,simses_nominal_energy_capacity_kwh,power_rating_kw,series_cells,parallel_cells,nominal_voltage_v,nominal_capacity_ah,soc_min,soc_max,start_soc,start_temperature_c,degradation_enabled,storage_duration_h
B,Observed-power smoothing,110.0,111.36,35.0,200,58,640.0,174.0,0.2,0.8,0.5,25.0,True,3.1817142857142855
C,Forecast-informed smoothing,380.0,380.16,45.0,200,198,640.0,594.0,0.2,0.8,0.5,25.0,True,8.448
