scenario,scenario_name,n_segments,median_duration_days,median_soc_range,p95_soc_range,median_throughput_kwh_per_day,p95_throughput_kwh_per_day,median_efc_per_day,p95_efc_per_day,max_power_tracking_error_kw,median_temperature_model_max_c,max_temperature_model_max_c,median_delta_soh_Q_per_day,median_delta_soh_R_per_day
B,Observed-power smoothing,38,1.1041666666666667,0.20497673169992872,0.5472560802214538,51.559663851746166,173.47615975969285,0.23436210841702804,0.788527998907695,2.0605739337042905e-13,25.046663527958486,25.251642235696576,0.002401165872924829,4.686074436365518e-05
C,Forecast-informed smoothing,38,1.1041666666666667,0.21800164093948224,0.5669497366510416,134.81950339366105,241.67587915263388,0.1773940834127119,0.3179945778324131,6.981082378842984e-13,25.087557340725123,25.43101100928788,0.002375923251381383,4.6489227027580486e-05
