scenario,scenario_name,fold_id,segment_id,start_time,end_time,start_soc,series_cells,parallel_cells,nominal_energy_capacity_kwh,power_rating_kw,n_samples,duration_days
C,Forecast-informed smoothing,1,h1_fold1_seg1,2025-05-08 03:00:00,2025-05-08 14:30:00,0.5345555895313729,200,198,380.0,45.0,24,0.5
C,Forecast-informed smoothing,1,h1_fold1_seg2,2025-05-21 22:00:00,2025-05-22 00:00:00,0.4643635584002547,200,198,380.0,45.0,5,0.10416666666666667
C,Forecast-informed smoothing,1,h1_fold1_seg3,2025-05-22 13:30:00,2025-05-23 19:00:00,0.5421919003993834,200,198,380.0,45.0,60,1.25
C,Forecast-informed smoothing,1,h1_fold1_seg4,2025-05-24 13:00:00,2025-05-26 12:30:00,0.47227430162604617,200,198,380.0,45.0,96,2.0
C,Forecast-informed smoothing,1,h1_fold1_seg5,2025-05-27 02:30:00,2025-05-28 23:00:00,0.32181903811146395,200,198,380.0,45.0,90,1.875
C,Forecast-informed smoothing,1,h1_fold1_seg6,2025-05-29 13:00:00,2025-05-30 03:00:00,0.5572792385920164,200,198,380.0,45.0,29,0.6041666666666666
C,Forecast-informed smoothing,1,h1_fold1_seg7,2025-05-30 16:30:00,2025-06-02 13:00:00,0.5045479825306654,200,198,380.0,45.0,138,2.875
C,Forecast-informed smoothing,1,h1_fold1_seg8,2025-06-03 02:30:00,2025-06-06 01:30:00,0.7738454009160197,200,198,380.0,45.0,143,2.9791666666666665
C,Forecast-informed smoothing,2,h1_fold2_seg1,2025-05-27 13:30:00,2025-05-28 23:00:00,0.3433688425663436,200,198,380.0,45.0,68,1.4166666666666667
C,Forecast-informed smoothing,2,h1_fold2_seg2,2025-05-29 13:00:00,2025-05-30 03:00:00,0.5573457181021623,200,198,380.0,45.0,29,0.6041666666666666
C,Forecast-informed smoothing,2,h1_fold2_seg3,2025-05-30 16:30:00,2025-06-02 13:00:00,0.502217207388039,200,198,380.0,45.0,138,2.875
C,Forecast-informed smoothing,2,h1_fold2_seg4,2025-06-03 02:30:00,2025-06-06 13:00:00,0.7687919989815565,200,198,380.0,45.0,166,3.4583333333333335
C,Forecast-informed smoothing,2,h1_fold2_seg5,2025-06-07 02:30:00,2025-06-08 04:00:00,0.5758069090493867,200,198,380.0,45.0,52,1.0833333333333333
C,Forecast-informed smoothing,2,h1_fold2_seg6,2025-06-08 22:30:00,2025-06-09 13:00:00,0.5966363468398989,200,198,380.0,45.0,30,0.625
C,Forecast-informed smoothing,2,h1_fold2_seg7,2025-06-10 02:30:00,2025-06-12 16:30:00,0.6752454290287822,200,198,380.0,45.0,125,2.6041666666666665
C,Forecast-informed smoothing,2,h1_fold2_seg8,2025-06-13 06:00:00,2025-06-13 12:00:00,0.43007214544059447,200,198,380.0,45.0,13,0.2708333333333333
C,Forecast-informed smoothing,3,h1_fold3_seg1,2025-06-01 23:30:00,2025-06-02 13:00:00,0.4280698192511362,200,198,380.0,45.0,28,0.5833333333333334
C,Forecast-informed smoothing,3,h1_fold3_seg2,2025-06-03 02:30:00,2025-06-06 13:00:00,0.7642452610728319,200,198,380.0,45.0,166,3.4583333333333335
C,Forecast-informed smoothing,3,h1_fold3_seg3,2025-06-07 02:30:00,2025-06-08 04:00:00,0.5741772976852111,200,198,380.0,45.0,52,1.0833333333333333
C,Forecast-informed smoothing,3,h1_fold3_seg4,2025-06-08 22:30:00,2025-06-09 13:00:00,0.594645977615639,200,198,380.0,45.0,30,0.625
C,Forecast-informed smoothing,3,h1_fold3_seg5,2025-06-10 02:30:00,2025-06-12 16:30:00,0.6686251533422684,200,198,380.0,45.0,125,2.6041666666666665
C,Forecast-informed smoothing,3,h1_fold3_seg6,2025-06-13 06:00:00,2025-06-13 20:00:00,0.4159815302755542,200,198,380.0,45.0,29,0.6041666666666666
C,Forecast-informed smoothing,3,h1_fold3_seg7,2025-06-14 10:00:00,2025-06-15 12:00:00,0.5255314830716894,200,198,380.0,45.0,53,1.1041666666666667
C,Forecast-informed smoothing,3,h1_fold3_seg8,2025-06-16 02:00:00,2025-06-16 12:00:00,0.58120101459983,200,198,380.0,45.0,21,0.4375
C,Forecast-informed smoothing,3,h1_fold3_seg9,2025-06-17 02:00:00,2025-06-20 06:30:00,0.6901470443686205,200,198,380.0,45.0,154,3.2083333333333335
C,Forecast-informed smoothing,4,h1_fold4_seg1,2025-06-07 09:00:00,2025-06-08 04:00:00,0.530785952085638,200,198,380.0,45.0,39,0.8125
C,Forecast-informed smoothing,4,h1_fold4_seg2,2025-06-08 22:30:00,2025-06-09 13:00:00,0.5920889651031962,200,198,380.0,45.0,30,0.625
C,Forecast-informed smoothing,4,h1_fold4_seg3,2025-06-10 02:30:00,2025-06-12 16:30:00,0.6551947453901841,200,198,380.0,45.0,125,2.6041666666666665
C,Forecast-informed smoothing,4,h1_fold4_seg4,2025-06-13 06:00:00,2025-06-13 20:00:00,0.41447945761109456,200,198,380.0,45.0,29,0.6041666666666666
C,Forecast-informed smoothing,4,h1_fold4_seg5,2025-06-14 10:00:00,2025-06-15 12:00:00,0.5221117957240797,200,198,380.0,45.0,53,1.1041666666666667
C,Forecast-informed smoothing,4,h1_fold4_seg6,2025-06-16 02:00:00,2025-06-16 12:00:00,0.5789869735181562,200,198,380.0,45.0,21,0.4375
C,Forecast-informed smoothing,4,h1_fold4_seg7,2025-06-17 02:00:00,2025-06-20 12:00:00,0.6871939963347153,200,198,380.0,45.0,165,3.4375
C,Forecast-informed smoothing,4,h1_fold4_seg8,2025-06-21 02:00:00,2025-06-25 21:30:00,0.6897277800281941,200,198,380.0,45.0,232,4.833333333333333
C,Forecast-informed smoothing,5,h1_fold5_seg1,2025-06-13 12:30:00,2025-06-13 20:00:00,0.47012756942034367,200,198,380.0,45.0,16,0.3333333333333333
C,Forecast-informed smoothing,5,h1_fold5_seg2,2025-06-14 10:00:00,2025-06-15 12:00:00,0.5188873222898519,200,198,380.0,45.0,53,1.1041666666666667
C,Forecast-informed smoothing,5,h1_fold5_seg3,2025-06-16 02:00:00,2025-06-16 12:00:00,0.5766927648784218,200,198,380.0,45.0,21,0.4375
C,Forecast-informed smoothing,5,h1_fold5_seg4,2025-06-17 02:00:00,2025-06-20 12:00:00,0.6663415782497816,200,198,380.0,45.0,165,3.4375
C,Forecast-informed smoothing,5,h1_fold5_seg5,2025-06-21 02:00:00,2025-06-30 23:30:00,0.7515585664048062,200,198,380.0,45.0,476,9.916666666666666
