scenario,scenario_name,throughput_kwh,final_equivalent_full_cycles,max_abs_power_tracking_error_kw,soc_min,soc_max,temperature_model_max_c,final_soh_Q,final_soh_R,start_soc,nominal_energy_capacity_kwh,power_rating_kw,duration_days,delta_soh_Q,delta_soh_R
B,Observed-power smoothing,412.3023841805661,1.8741017462753011,1.9806378759312793e-13,0.37149835092881184,0.6162472131179046,25.08336018913632,0.99245135908967,1.0004612124628292,0.38105628800913344,110.0,35.0,9.916666666666666,0.007548640910330029,0.0004612124628291525
C,Forecast-informed smoothing,751.355348568278,0.988625458642471,6.208367153703875e-13,0.26555598305105205,0.7496122866689149,25.180608710168833,0.9925393191346633,1.0004386494200892,0.7515585664048062,380.0,45.0,9.916666666666666,0.0074606808653366885,0.0004386494200891988
