scenario,scenario_name,max_storage_power_rating_kw,max_required_usable_energy_kwh,soc_min,soc_max,usable_soc_fraction,reference_soc,power_rating_kw,nominal_energy_required_kwh,nominal_energy_capacity_kwh,usable_energy_available_kwh,usable_energy_margin_kwh
B,Observed-power smoothing,31.39114230799728,62.82784648564933,0.2,0.8,0.6000000000000001,0.5,35.0,104.7130774760822,110.0,66.00000000000001,3.1721535143506827
C,Forecast-informed smoothing,41.40815923376748,225.38135706775785,0.2,0.8,0.6000000000000001,0.5,45.0,375.6355951129297,380.0,228.00000000000003,2.6186429322421816
