scenario,scenario_name,smoothing_window_min,smoothing_window_label,horizon_steps,horizon_hours,horizon_label,fold_id,n_samples,mean_p_wec_kw,mean_p_grid_kw,raw_energy_kwh,grid_energy_kwh,grid_to_raw_energy_ratio,charge_energy_kwh,discharge_energy_kwh,net_balancing_energy_kwh,raw_ramp_p95_kw_per_step,grid_ramp_p95_kw_per_step,ramp_p95_reduction_percent,raw_ramp_max_kw_per_step,grid_ramp_max_kw_per_step,ramp_max_reduction_percent,max_charge_power_kw,max_discharge_power_kw,storage_power_rating_kw,p95_abs_storage_power_kw,required_energy_kwh,required_energy_hours_at_mean_power,required_energy_hours_at_rated_power,throughput_kwh,equivalent_full_cycles,soc_min,soc_max,mean_storage_envelope_width_kw,possible_discharge_from_lower_bound_kw,possible_charge_from_upper_bound_kw
A,No smoothing,0,No smoothing,1,0.5,30 min,1,585,27.9071069367692,27.9071069367692,8162.828779004991,8162.828779004991,1.0,0.0,0.0,0.0,25.128565227555114,25.128565227555114,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.409277564127308,49.1277924179889,47.45553834568662
A,No smoothing,0,No smoothing,1,0.5,30 min,2,621,26.343519779425765,26.343519779425765,8179.6628915117,8179.6628915117,1.0,0.0,0.0,0.0,25.411312570641304,25.411312570641304,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.770437522492063,46.55551012644609,44.66759963608554
A,No smoothing,0,No smoothing,1,0.5,30 min,3,658,19.1343689730475,19.1343689730475,6295.207392132628,6295.207392132628,1.0,0.0,0.0,0.0,21.923185125293163,21.923185125293163,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.009919060490873,53.866850111638485,42.83901881683245
A,No smoothing,0,No smoothing,1,0.5,30 min,4,694,12.088819913508187,12.088819913508187,4194.820509987341,4194.820509987341,1.0,0.0,0.0,0.0,8.864109992895042,8.864109992895042,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.710501996619097,58.5157870082797,40.21910842288341
A,No smoothing,0,No smoothing,1,0.5,30 min,5,731,14.124075755178707,14.124075755178707,5162.349688517817,5162.349688517817,1.0,0.0,0.0,0.0,8.528866758169169,8.528866758169169,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.97930693968438,58.68884028778123,40.17270986810416
A,No smoothing,0,No smoothing,2,1.0,1 h,1,579,28.085682320384553,28.085682320384553,8130.805031751328,8130.805031751328,1.0,0.0,0.0,0.0,25.17846674348084,25.17846674348084,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.468679403678745,58.92681536108768,51.45491058577757
A,No smoothing,0,No smoothing,2,1.0,1 h,2,615,26.27325952483117,26.27325952483117,8079.027303885585,8079.027303885585,1.0,0.0,0.0,0.0,25.73378774883129,25.73378774883129,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3327666581019,56.34850568532427,47.21452813833639
A,No smoothing,0,No smoothing,2,1.0,1 h,3,652,18.86733113443405,18.86733113443405,6150.7499498255,6150.7499498255,1.0,0.0,0.0,0.0,21.510991383155098,21.510991383155098,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.371637424704144,58.80107051116187,47.10784928274375
A,No smoothing,0,No smoothing,2,1.0,1 h,4,688,11.953021623816433,11.953021623816433,4111.839438592853,4111.839438592853,1.0,0.0,0.0,0.0,8.372214395640778,8.372214395640778,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.961799226155403,55.72271131388562,48.189612861356196
A,No smoothing,0,No smoothing,2,1.0,1 h,5,724,14.02406740867366,14.02406740867366,5076.712401939865,5076.712401939865,1.0,0.0,0.0,0.0,8.369554728099958,8.369554728099958,0.0,24.58288581287712,24.58288581287712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98198114165523,55.735458722843745,47.95019669381128
A,No smoothing,0,No smoothing,4,2.0,2 h,1,568,28.07821019893853,28.07821019893853,7974.211696498543,7974.211696498543,1.0,0.0,0.0,0.0,25.26574244691709,25.26574244691709,0.0,49.80735743747695,49.80735743747695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.596701300953246,60.35291327465435,48.21800705219307
A,No smoothing,0,No smoothing,4,2.0,2 h,2,604,26.001663502255777,26.001663502255777,7852.502377681245,7852.502377681245,1.0,0.0,0.0,0.0,25.59161633407483,25.59161633407483,0.0,49.80735743747695,49.80735743747695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.385501554492908,57.69397332262527,45.88276407265997
A,No smoothing,0,No smoothing,4,2.0,2 h,3,639,18.14305955757216,18.14305955757216,5796.707528644305,5796.707528644305,1.0,0.0,0.0,0.0,19.63924495321055,19.63924495321055,0.0,43.89123664191296,43.89123664191296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.097212096861416,58.424665782755596,49.507312472209804
A,No smoothing,0,No smoothing,4,2.0,2 h,4,674,11.70920116768082,11.70920116768082,3946.0007935084363,3946.0007935084363,1.0,0.0,0.0,0.0,8.19739387956124,8.19739387956124,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.129420781659025,62.922602519667656,43.56925796182958
A,No smoothing,0,No smoothing,4,2.0,2 h,5,710,13.785946639134242,13.785946639134242,4894.011056892656,4894.011056892656,1.0,0.0,0.0,0.0,7.937374425960463,7.937374425960463,0.0,16.94809603391734,16.94809603391734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.79571281955786,42.67615207928239,43.57582625549091
A,No smoothing,0,No smoothing,8,4.0,4 h,1,546,28.378820688265343,28.378820688265343,7747.418047896439,7747.418047896439,1.0,0.0,0.0,0.0,25.26984895714383,25.26984895714383,0.0,49.80735743747695,49.80735743747695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.20391312885932,70.19868243540047,63.861168812482006
A,No smoothing,0,No smoothing,8,4.0,4 h,2,580,25.166334610173855,25.166334610173855,7298.237036950418,7298.237036950418,1.0,0.0,0.0,0.0,25.30270103895771,25.30270103895771,0.0,49.80735743747695,49.80735743747695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.465156258873076,67.84707188486044,61.86255956224187
A,No smoothing,0,No smoothing,8,4.0,4 h,3,614,16.944292961249094,16.944292961249094,5201.897939103472,5201.897939103472,1.0,0.0,0.0,0.0,17.16028314148452,17.16028314148452,0.0,43.89123664191296,43.89123664191296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50821540352481,66.51176908334531,66.54925339688452
A,No smoothing,0,No smoothing,8,4.0,4 h,4,649,11.293504861157043,11.293504861157043,3664.7423274454604,3664.7423274454604,1.0,0.0,0.0,0.0,8.165017096859465,8.165017096859465,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.08993730228124,64.36476484168247,45.666521625738426
A,No smoothing,0,No smoothing,8,4.0,4 h,5,683,13.617007517305527,13.617007517305527,4650.208067159838,4650.208067159838,1.0,0.0,0.0,0.0,7.875546920972594,7.875546920972594,0.0,16.94809603391734,16.94809603391734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.592468971104054,57.32084805097451,45.04008789305062
B,Observed-power smoothing,30,30 min,1,0.5,30 min,1,585,27.9071069367692,27.9071069367692,8162.828779004991,8162.828779004991,1.0,0.0,0.0,0.0,25.128565227555114,25.128565227555114,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.409277564127308,49.1277924179889,47.45553834568662
B,Observed-power smoothing,30,30 min,1,0.5,30 min,2,621,26.343519779425765,26.343519779425765,8179.6628915117,8179.6628915117,1.0,0.0,0.0,0.0,25.411312570641304,25.411312570641304,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.770437522492063,46.55551012644609,44.66759963608554
B,Observed-power smoothing,30,30 min,1,0.5,30 min,3,658,19.1343689730475,19.1343689730475,6295.207392132628,6295.207392132628,1.0,0.0,0.0,0.0,21.923185125293163,21.923185125293163,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.009919060490873,53.866850111638485,42.83901881683245
B,Observed-power smoothing,30,30 min,1,0.5,30 min,4,694,12.088819913508187,12.088819913508187,4194.820509987341,4194.820509987341,1.0,0.0,0.0,0.0,8.864109992895042,8.864109992895042,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.710501996619097,58.5157870082797,40.21910842288341
B,Observed-power smoothing,30,30 min,1,0.5,30 min,5,731,14.124075755178707,14.124075755178707,5162.349688517817,5162.349688517817,1.0,0.0,0.0,0.0,8.528866758169169,8.528866758169169,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.97930693968438,58.68884028778123,40.17270986810416
B,Observed-power smoothing,30,30 min,2,1.0,1 h,1,579,28.085682320384553,28.085682320384553,8130.805031751328,8130.805031751328,1.0,0.0,0.0,0.0,25.17846674348084,25.17846674348084,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.468679403678745,58.92681536108768,51.45491058577757
B,Observed-power smoothing,30,30 min,2,1.0,1 h,2,615,26.27325952483117,26.27325952483117,8079.027303885585,8079.027303885585,1.0,0.0,0.0,0.0,25.73378774883129,25.73378774883129,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3327666581019,56.34850568532427,47.21452813833639
B,Observed-power smoothing,30,30 min,2,1.0,1 h,3,652,18.86733113443405,18.86733113443405,6150.7499498255,6150.7499498255,1.0,0.0,0.0,0.0,21.510991383155098,21.510991383155098,0.0,53.94396315614402,53.94396315614402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.371637424704144,58.80107051116187,47.10784928274375
B,Observed-power smoothing,30,30 min,2,1.0,1 h,4,688,11.953021623816433,11.953021623816433,4111.839438592853,4111.839438592853,1.0,0.0,0.0,0.0,8.372214395640778,8.372214395640778,0.0,39.103859107048415,39.103859107048415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.961799226155403,55.72271131388562,48.189612861356196
B,Observed-power smoothing,30,30 min,2,1.0,1 h,5,724,14.02406740867366,14.02406740867366,5076.712401939865,5076.712401939865,1.0,0.0,0.0,0.0,8.369554728099958,8.369554728099958,0.0,24.58288581287712,24.58288581287712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98198114165523,55.735458722843745,47.95019669381128
B,Observed-power smoothing,30,30 min,4,2.0,2 h,1,568,28.07821019893853,28.07821019893853,7974.211696498543,7974.211696498543,1.0,0.0,0.0,0.0,25.26574244691709,25.26574244691709,0.0,49.80735743747695,49.80735743747695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.596701300953246,60.35291327465435,48.21800705219307
B,Observed-power smoothing,30,30 min,4,2.0,2 h,2,604,26.001663502255777,26.001663502255777,7852.502377681245,7852.502377681245,1.0,0.0,0.0,0.0,25.59161633407483,25.59161633407483,0.0,49.80735743747695,49.80735743747695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.385501554492908,57.69397332262527,45.88276407265997
